id	filename	md5	size	state
eab1d37b-bba7-44bf-853e-f844fd92ca78	74fcc4a6-24a4-4de8-83b6-408f248bce01.htseq.counts.gz	70f580c9cbe9dbf4a58357b3368001a1	258891	released
34a2a506-75bc-4fd4-8158-868734b1e29a	a8e5861f-e86c-473d-8ff7-5630532b3c61.htseq.counts.gz	24666dc75526e2a008add53020a22a45	257434	released
fc57bb8e-151c-4d44-9b79-1d9430652101	40d9de72-e2ee-4bd1-9c1f-b5a6df9ce3e1.htseq.counts.gz	e587afc8b6700256f2d87e40b5849291	260761	released
59c647c4-8172-4365-a15e-e95ab2100ae6	e023c283-afcf-4334-b741-3dce8e98b0f6.htseq.counts.gz	20baf91b9f2c0ec17527e8708d0ac8e2	254434	released
714c3848-60c3-45bd-afaf-8889f9b005d0	1cbb4ac2-5588-441a-85f9-59deffb16a22.htseq.counts.gz	d6f05720d878ea2049c5e4792ea68349	252629	released
d8b83d06-a8cf-411f-80f7-cd6847a1f5c7	64262505-9f17-4989-94c9-fc6db56ca676.htseq.counts.gz	84e3124d9ea34fd4962f4143efa25617	256496	released
88140784-8c64-452a-92e2-53dffef3db82	d4924657-2b67-4083-8190-bd4c15534066.htseq.counts.gz	6dc51d56ef86bcabce55ae3a06015a55	253859	released
47362fc1-2d51-4d9e-8492-fb5da17c074b	18fbee33-4731-41f4-bdc9-6cf90952d370.htseq.counts.gz	17ceb68388168a39ee32811dcc23d4cc	254188	released
81f0ffb9-f85a-4e2d-bf6e-892f4a74a93e	2afc73e0-d4e7-4b35-8c1c-8bfc1237ee0a.htseq.counts.gz	e0c79ca4dbf3c638411c832c67b6e112	260533	released
9310a90b-0adc-4024-a11f-c1d76062e3f5	c87fff18-9dff-41c1-8ec7-99a581e404b4.htseq.counts.gz	f8e98c429ce353241711f2706ed3337b	257483	released
2079ca8b-0a5c-4b82-a544-9c8ab7e6ca2c	c4489317-3e8a-4159-b32b-4cfde723359a.htseq.counts.gz	b9641e8a62f9951623b6eabdecd99466	250897	released
52edd93d-2490-4a73-aa47-dd4a3175bd87	be5ceb98-a493-4cad-8bab-281342dea3d0.htseq.counts.gz	20ff9278f91ffeb2577ea07024305f98	256063	released
